,Rainfall (mm),GWL (m),AMP,AMT
2018-12-07,0.0,-1.40625,0.0491765421713438,0.08085339421433772
2018-12-08,0.0,-1.06,0.04925162386159587,0.08093532686875589
2018-12-09,0.0,-0.6737500000000001,0.04932670555184795,0.08101725952317405
2018-12-10,0.0,-1.0887499999999999,0.04912760479821956,0.08132106878799568
2018-12-11,0.0,-1.4845833333333334,0.048630479649068914,0.08186604828151668
2018-12-12,0.0,-1.5279166666666668,0.04813335449991827,0.08241102777503771
2018-12-13,0.0,-1.5116666666666667,0.04763622935076764,0.08295600726855872
2018-12-14,0.0,-1.4574999999999998,0.047139104201616995,0.08350098676207973
2018-12-15,0.0,-1.385,0.0468672477432872,0.08418805821787051
2018-12-16,0.0,-0.8658333333333333,0.046840248557588754,0.08502957745873709
2018-12-17,0.0,-1.0704166666666668,0.046813249371890304,0.08587109669960367
2018-12-18,0.0,-1.3275,0.04678625018619186,0.08671261594047024
2018-12-19,0.0,-1.4091666666666667,0.04675925100049341,0.08755413518133681
2018-12-20,0.0,-1.5416666666666667,0.047015183859772054,0.08815811367359962
2018-12-21,0.0,-1.5633333333333335,0.047578651550547545,0.08850389569998873
2018-12-22,0.0,-1.3891666666666669,0.04814211924132303,0.08884967772637785
2018-12-23,12.5,-0.9908333333333333,0.048705586932098505,0.08919545975276698
2018-12-24,0.0,-1.18375,0.04926905462287399,0.08954124177915608
2018-12-25,0.0,-1.4633333333333332,0.04956361684806016,0.08932279377881226
2018-12-26,0.0,-1.5599999999999998,0.049565890523692736,0.08849105227115005
2018-12-27,0.0,-1.6670833333333333,0.04956816419932531,0.08765931076348782
2018-12-28,0.0,-1.5391666666666666,0.049570437874957886,0.08682756925582559
2018-12-29,0.0,-1.52125,0.049572711550590454,0.08599582774816338
2018-12-30,0.0,-1.0725,0.04967186329457681,0.08490577574284869
2018-12-31,0.0,-0.8479166666666668,0.049876317286773796,0.08353495145747701
2019-01-01,0.0,-0.6933333333333334,0.050080771278970766,0.08216412717210532
2019-01-02,0.0,-1.07875,0.05028522527116775,0.08079330288673364
2019-01-03,1.5,-1.405,0.05048967926336473,0.07942247860136196
2019-01-04,0.0,-1.5250000000000001,0.05086209769506758,0.0783023871606112
2019-01-05,0.0,-1.2229166666666667,0.05141708616971161,0.07745483142053539
2019-01-06,3.5,-0.8220833333333334,0.051972074644355624,0.07660727568045957
2019-01-07,0.0,-1.11375,0.05252706311899965,0.07575971994038373
2019-01-08,0.0,-1.4183333333333332,0.053082051593643674,0.07491216420030791
2019-01-09,0.0,-1.5175,0.05377342671817726,0.07463060240969395
2019-01-10,0.0,-1.5529166666666665,0.054613048201286485,0.07496425143371244
